Meet_R
NOFLD	myOFLD	AOFLDC	SeGW
1	1	0.955072	0.978615	
1	0.949863	0.978993	0.9031	
0.627225	0.75413	0.950248	0.786769	
1	1	0.874288	0.96411	
1	0.983144	0.863663	0.857186	
0.615818	0.691684	0.803105	0.687149	
1	1	0.732365	0.952962	
1	0.979654	0.679488	0.838348	
0.648668	0.683537	0.666424	0.678036	
1	1	0.543915	0.94841	
1	0.986738	0.509994	0.835308	
0.659167	0.68954	0.518063	0.663988	


Energy
NOFLD	myOFLD	AOFLDC	SeGW
8866.25	8084.93	7915.46	8675.2	
11570.6	8029.48	7838.96	9325.17	
11506.1	7712.87	7946.39	9729.39	
8857.13	8480.4	8294.21	8773.08	
11555.5	8887.98	8308.09	10145.4	
11605.8	8166.5	8356.42	10606.2	
8846.47	8750.08	8565.35	8754.59	
11543.9	9398.77	8533.65	10404.1	
11597.6	8451.71	8474.44	10835.3	
8835.74	8799.16	8646.82	8746.47	
11533.5	9763.25	8616.53	10588.1	
11605.8	8973.75	8603.09	11142.8	


