Meet_R
NOFLD	myOFLD	AOFLDC	SeGW
1	1	0.993402	0.955653	
1	0.988921	0.991378	0.7841	
0.572212	0.986989	0.990273	0.572011	
1	1	0.981413	0.960803	
1	0.993856	0.979895	0.797621	
0.61467	0.966722	0.973342	0.582481	
1	1	0.941051	0.961815	
1	0.977122	0.960122	0.809795	
0.634498	0.95472	0.959993	0.583416	
1	1	0.898563	0.954936	
1	0.990721	0.913917	0.825308	
0.662208	0.934418	0.922435	0.626154	


Energy
NOFLD	myOFLD	AOFLDC	SeGW
8864.46	7774.15	6977.77	8790.25	
11565.5	7279.18	6957.19	10508	
11605.8	7121.5	6927.75	10661.5	
8857.03	8063.78	7053.22	8794.87	
11555.5	7764.44	7048.44	10688.4	
11605.8	7509.2	7035.79	11241	
8843.36	8355.09	7182.09	8782.52	
11547.4	8199.08	7103.16	10794.4	
11605.8	7891.79	7124.04	11404.3	
8831.01	8443.3	7273.94	8756.64	
11530.8	8606.48	7145.72	10724.8	
11605.8	8494.02	7129.05	11478.7	


Resp
NOFLD	myOFLD	AOFLDC	SeGW
615635	555933	942284	619653	
1572260	869817	943884	795149	
924350	1058705	961083	589134	
720325	674460	1287965	759989	
1907115	1177521	1292740	1022458	
1337140	1577243	1294037	886347	
827680	800085	1527171	899574	
2283330	1449517	1621356	1191112	
1686265	2108234	1657621	1117601	
929335	916950	1754776	1020945	
2611130	1780851	1794641	1314326	
2118220	2619570	1805375	1305617	


