Meet_R
NOFLD	myOFLD	AOFLDC	SeGW
1	1	0.856734	0.966549	
1	0.993695	0.846924	0.87869	
0.572212	0.962853	0.829472	0.778642	
0.379453	0.891394	0.854721	0.753757	
1	1	0.765538	0.962037	
1	0.995076	0.759004	0.850523	
0.61467	0.951247	0.725137	0.718386	
0.468501	0.866109	0.741163	0.687248	
1	1	0.549466	0.961815	
1	0.996403	0.614018	0.844682	
0.634498	0.92187	0.576988	0.66846	
0.49562	0.794607	0.583295	0.638612	
1	1	0.40124	0.954936	
1	0.995605	0.426149	0.838903	
0.662208	0.881507	0.409201	0.669021	
0.511492	0.742963	0.413264	0.601414	
1	1	0.238065	0.942337	
1	0.998957	0.253963	0.83758	
0.679264	0.861802	0.264623	0.681268	
0.549404	0.682407	0.261845	0.587301	
1	1	0.135733	0.934714	
1	1	0.146796	0.826708	
0.697561	0.842603	0.130394	0.692247	
0.573442	0.633624	0.139113	0.598433	


Energy
NOFLD	myOFLD	AOFLDC	SeGW
8864.46	8053.4	7065	8624.96	
11565.5	7839.41	7070.44	9540.67	
11605.8	7465.72	7044.23	9040.86	
11605.8	7433.04	7024.66	8469.89	
8857.03	8306.6	7217.24	8703.37	
11555.5	8434.53	7205.32	9971.85	
11605.8	7945.55	7239.52	10183.6	
11605.8	7787.54	7211.06	9389.49	
8843.36	8592.77	7337.85	8782.52	
11547.4	8932.35	7329.01	10340.5	
11605.8	8656.71	7332.99	10725.6	
11605.8	8191.48	7306.44	10082.9	
8831.01	8697.79	7379.71	8756.64	
11530.8	9370.07	7369.78	10507.5	
11605.8	9195.77	7380.87	11082.2	
11605.8	8649.26	7368.09	10606	
8823.99	8819.46	7403.18	8732.49	
11514.7	10305.7	7400.91	10629.3	
11605.8	9847.44	7399.41	11341	
11605.8	9250.42	7398.91	11104.1	
8817.24	8817.24	7403.7	8707.24	
11498.4	10910.9	7403.7	10622.1	
11605.8	10508.5	7403.69	11426.2	
11605.8	9740.49	7403.51	11396.6	


Resp
NOFLD	myOFLD	AOFLDC	SeGW
615635	569840	927269	601654	
1572260	1004409	973576	825916	
924350	1275027	1064018	870485	
655820	1335619	1269204	1034822	
720325	682222	1340378	740245	
1907115	1278602	1305496	1018357	
1337140	1728878	1377184	1052128	
1019105	1790740	1484030	1210230	
827680	805619	1443299	899574	
2283330	1626514	1621717	1179756	
1686265	2168837	1553682	1185455	
1373665	2061350	1512448	1339130	
929335	912788	1337452	1020945	
2611130	1918904	1380070	1316510	
2118220	2554916	1390516	1348819	
1757210	2363138	1342215	1469202	
1137430	1136950	1031312	1339637	
3270590	2689520	1096567	1701571	
2709295	3260137	1164159	1695408	
2496320	2934549	1197511	1805949	
1331760	1331760	709622	1553834	
3844355	3461739	778772	2100989	
3143315	3712839	733490	2030053	
2981595	3238436	744610	2117038	


CloudEng
NOFLD	myOFLD	AOFLDC	SeGW
0	72330	307920	23956	
0	388276	596487	203246	
0	789010	882975	522339	
0	1060031	1165919	898420	
0	34352	302315	11794	
0	309340	586661	132976	
0	701761	860652	312652	
0	987693	1122138	690607	
0	5832	287389	0	
0	232042	555547	71925	
0	564055	811322	189152	
0	874783	1054257	485944	
0	1030	269317	0	
0	162619	512830	40075	
0	488549	742719	109406	
0	757454	964071	317896	
0	0	241643	0	
0	49404	441956	11518	
0	381027	637515	46809	
0	629909	818623	169004	
0	0	210069	0	
0	13487	376721	1619	
0	240616	533530	29403	
0	507781	693194	66920	


FogEng
NOFLD	myOFLD	AOFLDC	SeGW
7825	8347	7825	7825	
7825	9117	7825	7825	
7825	8332	7825	7825	
7825	8021	7825	7825	
7825	8422	7825	7825	
7825	9226	7825	7825	
7825	9132	7825	7825	
7825	8635	7825	7825	
7825	8257	7825	7825	
7825	9519	7825	7825	
7825	9763	7825	7825	
7825	9038	7825	7825	
7825	8088	7825	7825	
7825	9722	7825	7825	
7825	9705	7825	7825	
7825	9330	7825	7825	
7825	7834	7825	7825	
7825	9565	7825	7825	
7825	9708	7825	7825	
7825	9862	7825	7825	
7825	7825	7825	7825	
7825	8839	7825	7825	
7825	9723	7825	7825	
7825	9927	7825	7825	


