Meet_R
NOFLD	myOFLD	AOFLDC	SeGW
1	1	0.88729	0.959747	
1	0.993695	0.892988	0.830938	
0.572212	0.97315	0.95433	0.63915	
0.379453	0.977108	0.983996	0.587871	
1	1	0.844304	0.960565	
1	0.995076	0.853933	0.83972	
0.61467	0.95382	0.943064	0.681927	
0.468501	0.930497	0.966894	0.634662	
1	1	0.743429	0.961815	
1	0.996403	0.785597	0.840264	
0.634498	0.921238	0.874264	0.660285	
0.49562	0.870292	0.935032	0.61321	
1	1	0.609318	0.954936	
1	0.995605	0.628571	0.836946	
0.662208	0.883749	0.780607	0.668775	
0.511492	0.816785	0.862687	0.594524	
1	1	0.451247	0.942337	
1	0.998957	0.48914	0.837529	
0.679264	0.861756	0.559357	0.684938	
0.549404	0.722145	0.691784	0.602163	
1	1	0.347461	0.934714	
1	1	0.38131	0.826592	
0.697561	0.842603	0.412154	0.694205	
0.573442	0.650147	0.473157	0.607467	


Energy
NOFLD	myOFLD	AOFLDC	SeGW
8864.46	8053.4	7198.99	8615.13	
11565.5	7839.41	7295.05	9457.95	
11605.8	7420.97	7013.82	8904.69	
11605.8	7111.72	6916.56	8310.59	
8857.03	8306.6	7575.04	8696.44	
11555.5	8434.53	7487.84	9935.94	
11605.8	7939.31	7150.1	10199	
11605.8	7585.07	7038.94	9499.84	
8843.36	8592.77	7873.26	8782.52	
11547.4	8932.35	7752.52	10308.5	
11605.8	8659.68	7438.54	10774.7	
11605.8	8069.25	7153.52	10280.3	
8831.01	8697.79	8293.98	8756.64	
11530.8	9370.07	8250.34	10490.6	
11605.8	9190.81	7768.88	11117.6	
11605.8	8588.85	7407.6	10786	
8823.99	8819.46	8706.74	8732.49	
11514.7	10305.7	8544.99	10622.1	
11605.8	9847.32	8598.78	11366.7	
11605.8	9245.55	7940.89	11319.1	
8817.24	8817.24	8945.63	8707.24	
11498.4	10910.9	8635.91	10620.7	
11605.8	10508.5	8858.27	11427.2	
11605.8	9751.81	8751.85	11482.5	


Resp
NOFLD	myOFLD	AOFLDC	SeGW
615635	569840	903463	570867	
1572260	1004409	945055	617555	
924350	1264824	1067202	417165	
655820	1355015	1282791	366533	
720325	682222	1286918	720551	
1907115	1278602	1240275	857901	
1337140	1716979	1319936	702669	
1019105	1729759	1444747	553581	
827680	805619	1300156	899574	
2283330	1626514	1399140	1058908	
1686265	2152335	1439478	937773	
1373665	1979584	1583460	756064	
929335	912788	1233923	1020945	
2611130	1918904	1226569	1243570	
2118220	2527522	1483514	1171824	
1757210	2310588	1660502	1015342	
1137430	1136950	1323660	1339637	
3270590	2689520	1458533	1674319	
2709295	3259775	1522818	1619246	
2496320	2929592	1694182	1557067	
1331760	1331760	1176011	1553834	
3844355	3461739	1318408	2095254	
3143315	3712839	1340641	1975008	
2981595	3242449	1615379	1989013	


CloudEng
NOFLD	myOFLD	AOFLDC	SeGW
0	7233040	27589696	388240	
0	38827680	51929952	2173040	
0	78828912	77885728	7439856	
0	106236448	102952416	17964656	
0	3435280	24661520	156768	
0	30934080	46224848	1318544	
0	69869216	67916240	3931344	
0	96607728	91314784	10096080	
0	583280	18975920	0	
0	23204240	36656848	585488	
0	56206480	55272864	1858032	
0	83563968	78705264	5059632	
0	103040	14721472	0	
0	16261920	25349680	314640	
0	48233392	42015296	959376	
0	72656816	63093600	2797536	
0	0	12288624	0	
0	4940400	21748064	64400	
0	38108240	28962336	336720	
0	61564928	40175664	1301984	
0	0	9609952	0	
0	1348720	16948608	8096	
0	24061680	21702800	156032	
0	50574608	28652112	425776	


FogEng
NOFLD	myOFLD	AOFLDC	SeGW
782500	834726	782677	782500	
782500	911752	782762	782500	
782500	833277	782553	782500	
782500	811847	782500	782500	
782500	842261	782859	782500	
782500	922643	782936	782500	
782500	911500	782710	782500	
782500	858545	782710	782500	
782500	825799	783009	782500	
782500	951959	783329	782500	
782500	974945	782818	782500	
782500	899966	782821	782500	
782500	808847	783196	782500	
782500	972266	783704	782500	
782500	971162	783585	782500	
782500	946046	783323	782500	
782500	783452	783519	782500	
782500	956544	784040	782500	
782500	970815	784675	782500	
782500	994085	784758	782500	
782500	782500	783412	782500	
782500	883921	784432	782500	
782500	972332	784889	782500	
782500	997700	785240	782500	


